# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 03:50:59 UTC;xvdap1;1.60;0.00;59.89;37.33;0.03;15.67;15.67;2.51
ip-10-8-14-181;2;2012-03-08 03:50:59 UTC;xvdb;1404.81;89920.86;0.00;64.01;1.55;1.10;0.31;43.90
ip-10-8-14-181;2;2012-03-08 03:50:59 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:50:59 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:50:59 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:00 UTC;xvdap1;2.13;0.00;51.06;24.00;0.04;20.50;20.50;4.36
ip-10-8-14-181;2;2012-03-08 03:51:00 UTC;xvdb;1491.49;95455.32;0.00;64.00;1.92;1.29;0.36;53.14
ip-10-8-14-181;2;2012-03-08 03:51:00 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:00 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:00 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:01 UTC;xvdap1;1.60;0.00;42.78;26.67;0.05;29.33;29.33;4.71
ip-10-8-14-181;2;2012-03-08 03:51:01 UTC;xvdb;1585.56;101463.10;0.00;63.99;1.92;1.21;0.34;53.48
ip-10-8-14-181;2;2012-03-08 03:51:01 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:01 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:01 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:02 UTC;xvdap1;1.61;0.00;34.41;21.33;0.05;29.33;29.33;4.73
ip-10-8-14-181;2;2012-03-08 03:51:02 UTC;xvdb;1675.27;107217.20;0.00;64.00;1.92;1.14;0.32;53.66
ip-10-8-14-181;2;2012-03-08 03:51:02 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:02 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:02 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:03 UTC;xvdap1;1.62;0.00;34.59;21.33;0.04;24.00;24.00;3.89
ip-10-8-14-181;2;2012-03-08 03:51:03 UTC;xvdb;1775.14;113608.65;0.00;64.00;1.90;1.07;0.30;53.84
ip-10-8-14-181;2;2012-03-08 03:51:03 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:03 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:03 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:04 UTC;xvdap1;1.62;0.00;34.59;21.33;0.04;26.67;26.67;4.32
ip-10-8-14-181;2;2012-03-08 03:51:04 UTC;xvdb;1793.51;114784.86;0.00;64.00;1.91;1.07;0.30;54.00
ip-10-8-14-181;2;2012-03-08 03:51:04 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:04 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:04 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:05 UTC;xvdap1;1.61;0.00;30.11;18.67;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 03:51:05 UTC;xvdb;1640.86;105015.05;0.00;64.00;1.92;1.17;0.33;53.66
ip-10-8-14-181;2;2012-03-08 03:51:05 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:05 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:05 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:06 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.67;26.67;4.28
ip-10-8-14-181;2;2012-03-08 03:51:06 UTC;xvdb;1598.93;102331.55;0.00;64.00;1.92;1.20;0.33;53.42
ip-10-8-14-181;2;2012-03-08 03:51:06 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:06 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:06 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:07 UTC;xvdap1;2.14;0.00;34.22;16.00;0.05;22.00;22.00;4.71
ip-10-8-14-181;2;2012-03-08 03:51:07 UTC;xvdb;1397.86;89463.10;0.00;64.00;1.95;1.39;0.38;53.32
ip-10-8-14-181;2;2012-03-08 03:51:07 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:07 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:07 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:08 UTC;xvdap1;1.60;0.00;34.04;21.33;0.04;26.67;26.67;4.26
ip-10-8-14-181;2;2012-03-08 03:51:08 UTC;xvdb;1545.74;98927.66;0.00;64.00;1.92;1.24;0.34;53.09
ip-10-8-14-181;2;2012-03-08 03:51:08 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:08 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:08 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:09 UTC;xvdap1;1.62;0.00;34.59;21.33;0.04;26.67;26.67;4.32
ip-10-8-14-181;2;2012-03-08 03:51:09 UTC;xvdb;1690.81;108211.89;0.00;64.00;1.93;1.14;0.32;53.89
ip-10-8-14-181;2;2012-03-08 03:51:09 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:09 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:09 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:10 UTC;xvdap1;1.60;0.00;29.95;18.67;0.04;26.67;26.67;4.28
ip-10-8-14-181;2;2012-03-08 03:51:10 UTC;xvdb;1563.64;100072.73;0.00;64.00;1.91;1.22;0.34;53.37
ip-10-8-14-181;2;2012-03-08 03:51:10 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:10 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:10 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:11 UTC;xvdap1;1.60;0.00;34.04;21.33;0.04;26.67;26.67;4.26
ip-10-8-14-181;2;2012-03-08 03:51:11 UTC;xvdb;1489.36;95319.15;0.00;64.00;1.92;1.29;0.36;53.03
ip-10-8-14-181;2;2012-03-08 03:51:11 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:11 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:11 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:12 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.67;26.67;4.28
ip-10-8-14-181;2;2012-03-08 03:51:12 UTC;xvdb;1462.03;93570.05;0.00;64.00;1.93;1.32;0.36;53.32
ip-10-8-14-181;2;2012-03-08 03:51:12 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:12 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:12 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:13 UTC;xvdap1;1.62;0.00;34.59;21.33;0.04;26.67;26.67;4.32
ip-10-8-14-181;2;2012-03-08 03:51:13 UTC;xvdb;1701.62;108903.78;0.00;64.00;1.90;1.12;0.32;54.05
ip-10-8-14-181;2;2012-03-08 03:51:13 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:13 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:13 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:51:14 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.67;26.67;4.28
