# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:13:06 UTC;xvdb;1561.90;99961.90;0.00;64.00;1.90;1.22;0.34;52.91
ip-10-8-14-181;2;2012-03-08 22:13:06 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:06 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:06 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:07 UTC;xvdap1;1.62;0.00;34.59;21.33;0.04;26.33;26.33;4.27
ip-10-8-14-181;2;2012-03-08 22:13:07 UTC;xvdb;1705.95;109180.54;0.00;64.00;1.91;1.12;0.32;53.95
ip-10-8-14-181;2;2012-03-08 22:13:07 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:07 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:07 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:08 UTC;xvdap1;1.60;0.00;29.95;18.67;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:13:08 UTC;xvdb;1596.79;102194.65;0.00;64.00;1.91;1.19;0.33;53.37
ip-10-8-14-181;2;2012-03-08 22:13:08 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:08 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:08 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
