# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;-1;0.15;0.00;1.04;24.78;0.00;74.04
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;0;0.00;0.00;0.53;88.36;0.00;11.11
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;1;1.04;0.00;3.12;0.00;0.00;95.83
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;-1;0.00;0.00;0.00;31.01;0.00;68.99
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;0;0.00;0.00;0.00;96.79;0.53;2.67
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;-1;0.00;0.00;0.10;18.30;0.10;81.51
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;0;0.00;0.00;0.00;100.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;-1;0.00;0.00;0.00;33.64;0.00;66.36
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;0;0.00;0.00;0.54;99.46;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
