# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;-1;0.28;0.00;0.98;24.54;0.00;74.19
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;0;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;1;0.00;0.00;0.52;91.62;0.52;7.33
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;2;1.04;0.00;3.12;0.00;0.00;95.83
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;-1;0.00;0.00;0.00;23.79;0.13;76.08
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;0;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;1;0.00;0.00;0.00;100.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;-1;0.00;0.00;0.13;12.69;0.00;87.18
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;0;0.00;0.00;0.00;0.48;0.00;99.52
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;1;0.00;0.00;0.53;52.91;0.53;46.03
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;-1;0.00;0.00;0.00;23.79;0.13;76.08
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;0;0.00;0.00;0.00;0.00;0.00;100.00
