# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;xvdap1;1.80;0.00;67.07;37.33;0.03;17.33;17.33;3.11
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;xvdd;1379.64;88297.01;0.00;64.00;1.78;1.29;0.36;49.28
ip-10-8-14-181;2;2012-03-08 22:17:57 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;xvdap1;1.55;0.00;49.48;32.00;0.03;20.33;20.33;3.14
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;xvdd;1469.07;94020.62;0.00;64.00;1.85;1.26;0.35;51.49
ip-10-8-14-181;2;2012-03-08 22:17:58 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;xvdap1;1.45;0.00;30.92;21.33;0.03;17.33;17.33;2.51
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;xvdd;1371.98;87806.76;0.00;64.00;1.75;1.27;0.35;48.31
ip-10-8-14-181;2;2012-03-08 22:17:59 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;xvdap1;1.55;0.00;32.99;21.33;0.05;31.33;31.33;4.85
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;xvdd;1405.15;89929.90;0.00;64.00;1.86;1.32;0.37;51.55
ip-10-8-14-181;2;2012-03-08 22:18:00 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:01 UTC;xvdap1;1.46;0.00;31.22;21.33;0.03;17.67;17.67;2.59
ip-10-8-14-181;2;2012-03-08 22:18:01 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:01 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:01 UTC;xvdd;1370.73;87726.83;0.00;64.00;1.76;1.29;0.36;48.73
ip-10-8-14-181;2;2012-03-08 22:18:01 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:02 UTC;xvdap1;1.54;0.00;32.82;21.33;0.05;34.33;34.33;5.28
ip-10-8-14-181;2;2012-03-08 22:18:02 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:02 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:02 UTC;xvdd;1429.74;91503.59;0.00;64.00;1.84;1.29;0.36;51.23
ip-10-8-14-181;2;2012-03-08 22:18:02 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:03 UTC;xvdap1;1.46;0.00;27.18;18.67;0.03;17.67;17.67;2.57
ip-10-8-14-181;2;2012-03-08 22:18:03 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:03 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:03 UTC;xvdd;1383.50;88543.69;0.00;64.00;1.75;1.27;0.35;48.50
ip-10-8-14-181;2;2012-03-08 22:18:03 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:04 UTC;xvdap1;1.55;0.00;32.99;21.33;0.04;26.00;26.00;4.02
ip-10-8-14-181;2;2012-03-08 22:18:04 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:04 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:04 UTC;xvdd;1470.10;94086.60;0.00;64.00;1.85;1.26;0.35;51.49
ip-10-8-14-181;2;2012-03-08 22:18:04 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:05 UTC;xvdap1;1.95;0.00;31.22;16.00;0.04;19.75;19.50;3.80
ip-10-8-14-181;2;2012-03-08 22:18:05 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:05 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:05 UTC;xvdd;1378.54;88226.34;0.00;64.00;1.76;1.27;0.35;48.73
ip-10-8-14-181;2;2012-03-08 22:18:05 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:06 UTC;xvdap1;1.55;0.00;32.99;21.33;0.04;25.67;25.67;3.97
ip-10-8-14-181;2;2012-03-08 22:18:06 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:06 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:06 UTC;xvdd;1465.98;93822.68;0.00;64.00;1.86;1.27;0.35;51.49
ip-10-8-14-181;2;2012-03-08 22:18:06 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:07 UTC;xvdap1;1.46;0.00;31.07;21.33;0.05;34.00;34.00;4.95
ip-10-8-14-181;2;2012-03-08 22:18:07 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:07 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:07 UTC;xvdd;1380.58;88357.28;0.00;64.00;1.76;1.27;0.35;48.50
ip-10-8-14-181;2;2012-03-08 22:18:07 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:08 UTC;xvdap1;1.55;0.00;28.87;18.67;0.03;17.33;17.33;2.68
ip-10-8-14-181;2;2012-03-08 22:18:08 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:08 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:08 UTC;xvdd;1434.02;91777.32;0.00;64.00;1.85;1.29;0.36;51.49
ip-10-8-14-181;2;2012-03-08 22:18:08 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:09 UTC;xvdap1;1.46;0.00;31.22;21.33;0.03;17.33;17.33;2.54
ip-10-8-14-181;2;2012-03-08 22:18:09 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:09 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:09 UTC;xvdd;1389.27;88913.17;0.00;64.00;1.76;1.27;0.35;48.73
ip-10-8-14-181;2;2012-03-08 22:18:09 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:10 UTC;xvdap1;1.54;0.00;32.82;21.33;0.05;31.33;31.33;4.82
ip-10-8-14-181;2;2012-03-08 22:18:10 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:10 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:10 UTC;xvdd;1462.56;93604.10;0.00;64.00;1.86;1.27;0.35;51.23
ip-10-8-14-181;2;2012-03-08 22:18:10 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:11 UTC;xvdap1;1.46;0.00;31.07;21.33;0.03;23.00;23.00;3.35
ip-10-8-14-181;2;2012-03-08 22:18:11 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:11 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:11 UTC;xvdd;1335.92;85499.03;0.00;64.00;1.75;1.31;0.36;48.54
ip-10-8-14-181;2;2012-03-08 22:18:11 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:12 UTC;xvdap1;1.33;0.00;28.44;21.33;0.03;23.00;23.00;3.07
ip-10-8-14-181;2;2012-03-08 22:18:12 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:12 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:12 UTC;xvdd;1267.11;81105.78;0.00;64.01;1.60;1.26;0.35;44.40
ip-10-8-14-181;2;2012-03-08 22:18:12 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:13 UTC;xvdap1;1.62;0.00;30.27;18.67;0.03;17.33;17.33;2.81
ip-10-8-14-181;2;2012-03-08 22:18:13 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:13 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:13 UTC;xvdd;1543.78;98802.16;0.00;64.00;1.95;1.26;0.35;54.05
ip-10-8-14-181;2;2012-03-08 22:18:13 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:14 UTC;xvdap1;1.60;0.00;34.04;21.33;0.03;17.33;17.33;2.77
ip-10-8-14-181;2;2012-03-08 22:18:14 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:14 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:18:14 UTC;xvdd;1504.79;96293.62;0.00;63.99;1.92;1.27;0.35;53.19
