# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 00:43:03 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:03 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:03 UTC;xvdd;50.25;402.01;1206.03;32.00;0.13;2.63;2.28;11.46
ip-10-8-14-181;2;2012-03-08 00:43:03 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:04 UTC;xvdap1;1.52;0.00;32.49;21.33;0.02;15.67;15.67;2.39
ip-10-8-14-181;2;2012-03-08 00:43:04 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:04 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:04 UTC;xvdd;51.78;406.09;1230.46;31.61;0.18;3.52;2.56;13.25
ip-10-8-14-181;2;2012-03-08 00:43:04 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:05 UTC;xvdap1;1.52;0.00;28.28;18.67;0.03;21.33;21.00;3.18
ip-10-8-14-181;2;2012-03-08 00:43:05 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:05 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:05 UTC;xvdd;50.51;404.04;1212.12;32.00;0.13;2.53;2.13;10.76
ip-10-8-14-181;2;2012-03-08 00:43:05 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:06 UTC;xvdap1;1.52;0.00;32.49;21.33;0.03;21.00;21.00;3.20
ip-10-8-14-181;2;2012-03-08 00:43:06 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:06 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:06 UTC;xvdd;50.76;406.09;1218.27;32.00;0.14;2.77;2.13;10.81
ip-10-8-14-181;2;2012-03-08 00:43:06 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:07 UTC;xvdap1;1.53;0.00;32.65;21.33;0.03;18.00;18.00;2.76
ip-10-8-14-181;2;2012-03-08 00:43:07 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:07 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:07 UTC;xvdd;51.02;408.16;1224.49;32.00;0.14;2.81;2.36;12.04
ip-10-8-14-181;2;2012-03-08 00:43:07 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:08 UTC;xvdap1;1.51;0.00;32.16;21.33;0.03;21.00;21.00;3.17
ip-10-8-14-181;2;2012-03-08 00:43:08 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:08 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:08 UTC;xvdd;50.25;402.01;1206.03;32.00;0.14;2.79;2.22;11.16
ip-10-8-14-181;2;2012-03-08 00:43:08 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:09 UTC;xvdap1;1.52;0.00;32.49;21.33;0.03;18.00;18.00;2.74
ip-10-8-14-181;2;2012-03-08 00:43:09 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:09 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:09 UTC;xvdd;50.76;389.85;1214.21;31.60;0.17;3.20;2.73;13.86
ip-10-8-14-181;2;2012-03-08 00:43:09 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:10 UTC;xvdap1;1.52;0.00;28.28;18.67;0.03;17.67;17.67;2.68
ip-10-8-14-181;2;2012-03-08 00:43:10 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:10 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
